,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0431,0.057,-0.762,0.447,-0.155,0.068
mkt-rf,0.9715,0.009,105.017,0.0,0.953,0.99
FX Factor,0.0007,0.002,0.38,0.704,-0.003,0.004
