,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0594,0.13,0.457,0.648,-0.196,0.315
mkt-rf,1.0208,0.031,33.052,0.0,0.96,1.082
FX Factor,-0.0017,0.005,-0.353,0.724,-0.011,0.008
