,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0572,0.072,-0.798,0.426,-0.198,0.084
mkt-rf,1.0073,0.012,85.998,0.0,0.984,1.03
FX Factor,0.002,0.002,0.858,0.392,-0.003,0.007
