,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0693,0.16,-0.434,0.664,-0.384,0.245
mkt-rf,1.0144,0.038,26.719,0.0,0.94,1.089
FX Factor,0.0026,0.006,0.435,0.664,-0.009,0.014
