,abnormal_returns,t-1~t CAR,t-2~t CAR,t-3~t CAR,t-3~t+1 CAR,t-3~t+2 CAR,t-3~t+3 CAR,t~t+1 CAR,t~t+2 CAR,t~t+3 CAR,FX factor,Electronic Parts and Components Manufacturing,Semi-conductors Manufacturing,Others,Optoelectronic Materials and Components Manufacturing,Computers and Peripheral Equipment Manufacturing ,Building Materials Construction,"Power Generation, Transmission and Distribution Machinery Manufacturing",Textiles Mills,Information and Communications Technology,Medical Materials and Supplies Manufacturing,Other Electronic Parts and Components Manufacturing ,Motor Vehicles Manufacturing,Basic Iron and Steel Manufacturing,Chemical Products Manufacturing,Shipping Business,Food Manufacturing,Plastic Products Manufacturing,Department Industry,Electronic Distribution Industry,Tourist Industry,Electrical Cable Industry,Financial Holdings Industry,Information Services Industry,Rubber Products Manufacturing,Banking Industry,Paper Industry,"Oil, Electricity and Gas Industry",Cement and Cement Products Manufacturing,Insurance Industry,Glass and Glass Products Manufacturing,Securities Industry,Close Price,Turnover ratio％,Foreign trading ratio ,Financing balance(amount),Net buy_sell by foreign capital,Net buy_sell by dealer,Net buy_sell days by foreign capital,Institutional investor transaction rate,Outstanding shares (million),Foreign investor cumulative overbought_oversold ,Financing balance_Short sales balance(amount),Cumulative net buy_sell by investment trust,Short sales use ratio,Financing balance_Short sales balance(ratio),Net Buy_Sell by Investment Trust,Net buy_sell days by dealer,Net buy_sell,Short sales balance(amount),Increased financing(amount),cumulative net buy_sell by dealer,Institutional investor Trading days  ,Institutional investor cumulative overbought_oversold ,common stock trading ratio ,Financing balance(thousand yuan),Financing use ratio,Investment trust Trading days  ,Ratio of Margin Trading , Short Sale _ Margin Purchase Ratio,Short sales balance(thousand yuan),Increased short sales(amount),Ratio of dealer transactions,Investment Trust trading ratio,Cash Flow From Operating Activities ,PB ratio,Quick ratio ,Treasury stocks book value ,Cash and Cash equivalents ,PE ratio ,Loan from bank(non-current),Operating margin ratio,Other equity interest ,AR,Goodwill and intangible assets ,Other Comprehensive Income (OCI),Inventory,Dividend Payout Ratio,ROE,Cash Flow from Financing Activities ,Interest income ,cash flow ratio,Gross Profit ratio,Cost of revenue,Market Value,(Inventory+AR) divided by Net income,Operating expenses,Tax rate(A),AR turnover,cash dividend ratio ,Dividend Yield ,Non-current assets ,Asset Growth Rate,ROA,Profit before tax ratio,Other long-term debt (Non-current),R&D,lease liabilities (Non current),Non-current liability ,Operating income,Cash Flow From Investing Activities ,retained earning ,AP,current ratio,current liability ,debt ratio ,Profit after tax ratio,Operating revenue(net),current asset,Interest-bearing debt ratio ,effect of exchange rates ,Proportion of supervisors with doctoral degrees,Number of general manager changes in the month,Average attendance of Chairman of the Board,Employee turnover rate,Percentage of directors and supervisors with masters degrees,Directors average hours of study,Number of changes in chairmanship for the month,Reinvestment to net value ratio,Number of directors and supervisors with financial experience,Sales percentage to related parties,equity of stock holdings (Major shareholder),Average attendance of the Board of Directors,Employee bonus cash,tockholding of Directors and Supervisors,Directors liability insurance coverage to revenue percentage,Managers shareholding,Reinvestment to assets ratio,Directors liability insurance coverage to net value percentage,Percentage of directors and supervisors with a bachelors degree,Employee bonus to net income before tax ratio,Total social responsibility events,Number of Underwriting Insurance Companies,Management Internalization ratio,Number of Board Meetings,Directors liability insurance coverage to total assets percentage,Employee bonus shares,Directors salary,Internal audit variation in the current month,Directors liability insurance coverage,company age,A,F,G,M
1102,-0.0204486154488506,-0.0170571339067467,-0.0222361166705528,-1.9382394201898637e-05,0.0177298967445862,0.0195249160625101,-0.0027773598149896,-0.0026993363100625,-0.0009043169921386,-0.0232065928696383,-0.001724739971125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,0.21,38.69,4663.0,-1147.0,348.0,-4.0,43.24,3361.0,-7568.0,0.0,0.0,0.01,0.0,0.0,15.0,-799.0,66.0,0.0,5079.0,-4.0,-7352.0,56.74,191851.67,0.55,0.0,0.01,1.42,2715.46,0.0,4.55,0.0,19623856,0.98,122.97,0,25911732,6.0,10944833,24.61,1078007,16548616,7254262,-1189331,6596268,81.12,10.36,-14019025,1085263,30.65,29.18,56609534,145214510,13.62,3659338,22.24,4.13,8.22,8.22,210062908,-0.06,5.92,30.2,0,0,1158824,63172293,19670138,-4506061,111583496,9563680,135.92,64027610,42.82,23.49,79939010,87023947,1.17,77467,42.86,0,100,12,28.57,9.43,0,133.17,2,33,11.35,95.92,189.83,28.87,0.37,0.07,91.14,0.17,28.57,1.23,0,2,0,7,0.1,0,166.1,0,287.75,57.0,0,1,0,0
1103,-0.0234829640985113,-0.0080939256093703,-0.004196393677894,0.0075168868989696,0.0355699293947448,0.0422959441366423,0.0385852589907187,0.0045700783972639,0.0112960931391614,0.0075854079932378,-0.0011693774294961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.06,50.39,2163.0,149.0,2.0,1.0,50.65,775.0,149.0,0.0,0.0,0.02,0.0,0.0,1.0,151.0,44.0,23.0,2.0,1.0,151.0,49.29,34339.14,1.12,0.0,0.06,2.03,698.53,2.0,0.26,0.0,530831,0.61,380.0,-1119023,3375981,8.81,8771785,39.96,4939214,262793,11347,300229,61497,61.19,8.78,445433,88828,17.45,-6.98,2202158,14759559,1.3,603155,12.8,8.33,7.31,7.31,28919707,4.97,5.39,102.31,0,0,1723014,12586413,822567,377364,11653749,152722,385.43,3042465,38.45,89.29,2058417,11726520,1.26,-44544,28.57,0,100,17,57.14,17.86,0,110.91,0,12,30.7,95.08,7.2,17.11,9.62,0.0,81.33,0.79,57.14,0.4,0,1,25,9,0.49,0,18.0,0,198,50.0,0,1,0,0
1104,-0.0126153265134453,0.0013572520120934,0.0086459858303842,0.0181948673220481,0.0154527434047895,0.0324636058260213,0.0270393885385225,-0.0153574504307039,0.0016534119905279,-0.0037708052969708,-0.0006733512737394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.2,0.15,44.51,2294.0,507.0,2.0,2.0,44.65,654.0,816.0,0.0,0.0,0.01,0.0,0.0,1.0,509.0,20.0,0.0,2.0,2.0,818.0,55.33,46310.58,1.4,0.0,0.02,0.87,403.75,0.0,0.14,0.0,1014179,0.81,106.4,0,294665,10.9,0,9.09,538530,1410918,8075,79230,283445,57.64,7.26,-824571,1361,26.72,16.72,4519186,15163729,9.02,413889,2.91,4.04,4.74,4.74,19711296,3.0,5.64,23.91,0,69195,259001,1522159,493142,-145585,11515783,673344,115.71,3795424,22.06,23.22,5426217,4391640,1.01,0,28.57,0,100,3,42.86,9.86,0,66.66,1,3,27.88,95.59,22.95,24.13,0.56,0.0,54.0,0.16,42.86,1.79,0,1,28.57,8,0.13,0,22.95,0,30.2,48.0,0,1,0,0
1108,0.0165505314608641,0.0193196881530977,-0.0228443013610862,-0.0091229570840187,0.0172443887479989,0.0289823845906982,0.0334432131685559,0.0429178772928817,0.054655873135581,0.0591167017134387,0.0053195158783908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.6,0.85,9.79,4221.0,-56.0,1.0,-3.0,9.8,405.0,-721.0,2.0,0.0,0.19,0.06,0.0,2.0,-55.0,195.0,0.0,15.0,-3.0,-706.0,89.98,49337.58,4.17,0.0,0.21,4.62,2279.28,0.0,0.02,0.0,832057,1.1,72.33,0,320535,11.98,1040000,9.88,4455,1072953,0,4426,3545586,72.23,8.84,-125262,1591,38.68,15.82,3813497,5140173,99.18,260241,11.73,4.56,5.51,5.51,2742349,9.53,5.17,9.81,45800,0,43161,1219126,447475,-619702,605001,638849,245.67,2151262,41.99,8.66,4530172,5284958,1.56,16,28.57,0,100,11,28.57,7.0,0,67.84,1,18,50.28,100.0,13.58,3.95,1.43,0.02,46.86,1.39,28.57,3.26,0,1,28.57,6,0.81,0,22.64,0,64.84,29.0,0,1,0,0
1109,-0.0238186549405791,-0.0055515291283507,-0.0037442320461276,0.0185986064461055,0.0351988918172498,0.0460488977712168,0.0480740410841118,-0.0072183695694348,0.0036316363845322,0.0056567796974273,0.0017469292163581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.4,0.07,27.86,1406.0,47.0,0.0,1.0,27.86,342.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1.0,47.0,72.12,27166.45,1.64,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2147630,0.91,259.57,0,2276512,3.26,0,27.69,-175551,2077597,49460,80293,893683,51.09,16.83,-928006,9261,99.31,34.37,4983512,6839140,31.14,507423,31.61,3.29,7.5,7.5,5238057,5.54,13.3,27.9,0,0,15980,107416,2102359,166803,4231187,1285658,303.94,2162621,19.22,19.08,7593294,6572996,6.69,15513,0,0,100,5,22.22,1.0,0,76.81,1,8,15.24,96.3,23.41,41.75,1.19,0.05,72.31,0.94,22.22,2.13,0,1,12.5,6,0.76,0,46.81,0,90,28.0,0,1,0,0
1110,-0.0085996440143208,-0.014361904440473,-0.0080270974111365,0.0012019681664904,0.004001490903934,0.0075300010390077,0.010384130311992,-0.0058001212768772,-0.0022716111418035,0.0005825181311807,-0.0069490643010829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.8,0.05,51.45,823.0,60.0,0.0,2.0,51.45,572.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,63.0,48.49,13696.78,0.58,0.0,0.07,0.0,0.0,0.0,0.0,0.0,110709,1.21,114.7,-12185,176743,3061.84,0,-1.92,500520,417242,23,689,884310,258.15,0.21,-60841,6228,15.29,4.23,1523614,10238800,15.23,97945,0.0,3.91,0.56,0.56,7901541,1.28,0.18,0.47,0,0,265358,592681,-30573,-81056,2093199,225652,271.27,723920,13.35,1.07,1590986,1963779,0.91,0,0,0,100,5,40,7.15,0,90.51,1,10,35.67,92.0,0.27,34.7,5.58,0.01,80.39,1.04,40,2.11,0,1,0,5,0.9,0,0.4,0,88.77,25.0,0,1,0,0
1201,-0.0119450928393458,0.0030361428187511,0.0105901686044971,0.02503324448362,0.0425108093023605,0.0526254113709151,0.0110170341973676,0.0055324719793947,0.0156470740479493,-0.0259613031255981,-0.0015408663579983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.12,30.67,5075.0,311.0,0.0,13.0,30.67,506.0,2013.0,0.0,0.0,0.11,0.0,0.0,0.0,311.0,145.0,0.0,0.0,13.0,2013.0,69.27,101030.06,4.01,0.0,0.06,2.86,2886.57,0.0,0.0,0.0,1873619,1.65,73.73,0,1905431,16.48,3549532,3.19,-252501,2513451,174911,51721,1204996,50.11,8.52,-1549962,22816,30.69,29.19,13206608,11285183,54.24,4849210,1.24,7.2,2.38,2.38,12156165,-5.58,3.17,2.91,0,229180,161093,5070290,595053,-628587,2003464,1551967,96.23,6105443,61.98,2.87,18650871,5875356,2.37,-11397,11.11,0,100,10,66.67,8,0,84.47,4,1,32.53,92.59,6.51,14.55,3.25,0.01,44.06,8.83,66.67,1.45,0,2,0,12,3.36,0,6.3,0,605.5,57.0,0,1,0,0
1203,-0.029116950821218,-0.0228118134729057,-0.0197928288199128,-0.0133261226625896,0.0050509743951079,-0.002874646893267,0.0003571816755967,-0.0107398537635204,-0.0186654750518954,-0.0154336464830315,-0.005953469061603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.65,0.08,32.17,372.0,67.0,0.0,2.0,32.17,240.0,69.0,1.0,0.0,0.0,0.78,0.0,0.0,67.0,0.0,12.0,0.0,2.0,69.0,66.98,12750.67,0.62,0.0,0.84,0.0,0.0,0.0,0.0,0.0,1084474,1.7,156.09,-38464,1569035,9.34,0,16.13,83752,435859,54300,-206686,1428081,61.52,7.78,-575000,19665,69.61,33.82,3999778,8784000,29.53,1069011,26.28,12.77,3.01,3.01,5084692,-0.99,5.2,15.57,0,8492,77090,1461278,974911,-298389,2504319,330709,272.6,1557942,32.35,11.48,6043700,4246910,1.6,-159694,6.67,0,100,8,33.33,0.8,0,90.14,1,0,34.1,66.67,10.88,28.63,1.47,0,68.24,1.41,33.33,2.11,0,1,20.0,4,0.95,0,16.32,0,89.0,55.0,0,1,0,0
1210,-0.0160195741383309,-0.0055151017432891,0.0017721950640141,0.0101755590761945,0.0252834813604579,0.0306773500475356,0.0316180159135149,-0.0009116518540675,0.0044822168330102,0.0054228826989894,-0.0002549738222236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.25,0.31,27.15,2839.0,1014.0,9.0,2.0,27.71,827.0,1241.0,0.0,0.0,0.02,0.0,0.0,1.0,1023.0,44.0,59.0,9.0,2.0,1232.0,72.24,128302.36,1.37,0.0,0.04,1.55,1988.48,0.0,0.57,0.0,6468899,2.08,53.65,-219132,4488486,8.36,1255263,5.16,1384211,6333542,160023,629592,8148332,71.55,18.01,-1729121,16558,30.59,15.02,69388663,42028821,51.93,8050281,18.28,13.23,5.31,5.91,28175698,9.29,9.5,6.1,0,169130,1050393,2658931,4211948,-3125405,7562982,4735337,111.21,21147353,46.05,4.99,81650892,23517338,1.84,-68629,10,0,100,4,60,6.0,0,72.15,0,16,24.02,100.0,90,12.77,0.73,0.01,48.67,2.13,60,2.52,0,1,9.09,5,1.15,0,40,0,593.5,41.0,0,1,0,0
1215,-0.0045522740874221,0.0036771001867104,0.0041489953905805,0.0171977207735361,0.0365451840753173,0.0410036901664724,0.0189356835735557,0.0147951892143591,0.0192536953055142,-0.0028143112874025,0.0014093827795804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.7,0.1,24.38,643.0,55.0,0.0,2.0,24.38,268.0,135.0,0.0,0.0,0.03,0.0,0.0,0.0,55.0,20.0,0.0,0.0,2.0,134.0,75.6,43516.38,0.96,0.0,0.02,3.11,1353.54,1.0,0.0,0.0,2391646,2.34,41.87,0,247679,9.88,4515250,8.56,1408198,2184158,174,-204431,1316392,72.78,16.54,-420096,1159,40.95,15.88,18664912,19402476,40.08,1652968,19.86,10.27,6.22,6.22,13857717,4.8,7.52,9.23,0,0,296281,4972756,1898598,-2883395,4212921,1347635,97.41,5840107,55.32,7.39,22189635,5688632,1.13,-13225,12.5,0,100,8,37.5,13.5,0,32.05,1,0,37.41,87.5,20.89,10,3.99,2.4,14.98,10.13,37.5,1.01,0,1,0,6,4.53,0,0,0,885.06,32.0,0,1,0,0
