,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0071,0.124,0.058,0.954,-0.236,0.25
mkt-rf,0.9913,0.02,50.201,0.0,0.952,1.03
FX Factor,-0.0005,0.005,-0.107,0.915,-0.01,0.009
