,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0081,0.043,0.187,0.852,-0.077,0.093
mkt-rf,1.0,0.007,144.665,0.0,0.986,1.014
FX Factor,-0.0003,0.002,-0.153,0.878,-0.004,0.003
