,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0573,0.066,0.866,0.387,-0.073,0.187
mkt-rf,0.9809,0.011,90.808,0.0,0.96,1.002
FX Factor,-0.0023,0.002,-1.089,0.277,-0.007,0.002
