,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0712,0.183,0.388,0.698,-0.29,0.433
mkt-rf,0.99,0.016,61.566,0.0,0.958,1.022
FX Factor,-0.0027,0.006,-0.422,0.673,-0.015,0.01
