,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0551,0.061,-0.896,0.371,-0.176,0.066
mkt-rf,1.01,0.01,102.775,0.0,0.991,1.029
FX Factor,0.0023,0.002,0.933,0.352,-0.003,0.007
