,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0745,0.151,-0.492,0.623,-0.373,0.224
mkt-rf,0.9876,0.013,74.473,0.0,0.962,1.014
FX Factor,0.0025,0.005,0.459,0.647,-0.008,0.013
