,coef,std err,t,P>|t|,[0.025,0.975]
const,0.4014,0.135,2.983,0.003,0.136,0.667
mkt-rf,0.9081,0.032,28.368,0.0,0.845,0.971
FX Factor,-0.0149,0.005,-3.001,0.003,-0.025,-0.005
