,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0921,0.281,-0.328,0.743,-0.645,0.461
mkt-rf,0.9716,0.025,39.487,0.0,0.923,1.02
FX Factor,0.0028,0.01,0.287,0.774,-0.017,0.022
