,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2612,0.129,-2.018,0.045,-0.516,-0.006
mkt-rf,0.9784,0.011,86.266,0.0,0.956,1.001
FX Factor,0.009,0.005,1.975,0.049,2.17e-05,0.018
