,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1027,0.157,0.656,0.512,-0.206,0.411
mkt-rf,0.9982,0.014,72.745,0.0,0.971,1.025
FX Factor,-0.0038,0.006,-0.683,0.496,-0.015,0.007
