,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1129,0.174,0.648,0.518,-0.231,0.456
mkt-rf,0.9891,0.015,64.731,0.0,0.959,1.019
FX Factor,-0.0042,0.006,-0.69,0.491,-0.016,0.008
