,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0138,0.056,-0.247,0.805,-0.124,0.096
mkt-rf,0.9946,0.009,109.156,0.0,0.977,1.013
FX Factor,0.0003,0.002,0.17,0.865,-0.003,0.004
