,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1179,0.244,-0.484,0.629,-0.598,0.362
mkt-rf,1.0018,0.021,46.94,0.0,0.96,1.044
FX Factor,0.0043,0.009,0.495,0.621,-0.013,0.021
