,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.2533,0.131,-1.937,0.054,-0.511,0.004
mkt-rf,0.975,0.011,85.06,0.0,0.952,0.998
FX Factor,0.0087,0.005,1.882,0.061,-0.0,0.018
