,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0192,0.045,-0.424,0.672,-0.108,0.07
mkt-rf,1.0036,0.007,135.55,0.0,0.989,1.018
FX Factor,0.0007,0.001,0.46,0.646,-0.002,0.004
