,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0957,0.097,0.988,0.324,-0.095,0.287
mkt-rf,0.999,0.016,63.105,0.0,0.968,1.03
FX Factor,-0.0031,0.003,-0.983,0.326,-0.009,0.003
