,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0729,0.248,0.294,0.769,-0.416,0.561
mkt-rf,0.9995,0.022,45.998,0.0,0.957,1.042
FX Factor,-0.0027,0.009,-0.309,0.757,-0.02,0.015
