,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0444,0.123,0.361,0.718,-0.198,0.287
mkt-rf,1.0016,0.02,49.852,0.0,0.962,1.041
FX Factor,-0.0014,0.004,-0.352,0.725,-0.009,0.006
