,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0416,0.254,0.164,0.87,-0.458,0.541
mkt-rf,1.0248,0.022,46.097,0.0,0.981,1.069
FX Factor,-0.0011,0.009,-0.12,0.905,-0.019,0.017
