,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.058,0.047,-1.239,0.217,-0.15,0.034
mkt-rf,0.9992,0.008,130.543,0.0,0.984,1.014
FX Factor,0.0018,0.002,1.212,0.227,-0.001,0.005
