,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.074,0.085,-0.873,0.384,-0.241,0.093
mkt-rf,1.0011,0.014,72.236,0.0,0.974,1.028
FX Factor,0.0024,0.003,0.882,0.379,-0.003,0.008
