,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1356,0.105,-1.293,0.197,-0.342,0.071
mkt-rf,0.9839,0.009,107.04,0.0,0.966,1.002
FX Factor,0.0046,0.004,1.237,0.217,-0.003,0.012
