,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1796,0.127,-1.42,0.157,-0.429,0.07
mkt-rf,0.9926,0.021,48.002,0.0,0.952,1.033
FX Factor,0.0056,0.004,1.379,0.169,-0.002,0.014
