,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0207,0.115,0.18,0.857,-0.205,0.247
mkt-rf,0.9928,0.027,36.393,0.0,0.939,1.047
FX Factor,-0.0008,0.004,-0.198,0.843,-0.009,0.007
