,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1791,0.129,-1.388,0.166,-0.433,0.075
mkt-rf,0.9969,0.021,47.276,0.0,0.955,1.038
FX Factor,0.0057,0.004,1.373,0.171,-0.002,0.014
