,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.172,0.1,-1.727,0.086,-0.368,0.024
mkt-rf,1.0287,0.024,43.417,0.0,0.982,1.075
FX Factor,0.0062,0.004,1.697,0.091,-0.001,0.013
