,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0165,0.093,-0.177,0.86,-0.201,0.168
mkt-rf,1.01,0.022,45.416,0.0,0.966,1.054
FX Factor,0.0007,0.003,0.193,0.847,-0.006,0.007
