,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1552,0.126,-1.23,0.22,-0.404,0.093
mkt-rf,1.0125,0.02,50.215,0.0,0.973,1.052
FX Factor,0.0057,0.005,1.152,0.25,-0.004,0.016
