,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1257,0.141,-0.894,0.372,-0.403,0.151
mkt-rf,1.0189,0.033,30.459,0.0,0.953,1.085
FX Factor,0.0045,0.005,0.86,0.391,-0.006,0.015
