,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0089,0.239,0.037,0.97,-0.462,0.479
mkt-rf,0.9593,0.021,45.835,0.0,0.918,1.001
FX Factor,-0.001,0.008,-0.116,0.908,-0.018,0.016
