,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1112,0.164,-0.678,0.499,-0.435,0.212
mkt-rf,1.0651,0.039,27.28,0.0,0.988,1.142
FX Factor,0.0048,0.006,0.79,0.43,-0.007,0.017
