,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0811,0.116,0.701,0.484,-0.147,0.309
mkt-rf,0.983,0.028,35.703,0.0,0.929,1.037
FX Factor,-0.003,0.004,-0.7,0.485,-0.011,0.005
