,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0924,0.1,-0.925,0.356,-0.289,0.104
mkt-rf,0.9794,0.009,111.901,0.0,0.962,0.997
FX Factor,0.003,0.004,0.841,0.401,-0.004,0.01
