,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0103,0.139,-0.074,0.941,-0.285,0.264
mkt-rf,1.0335,0.033,31.196,0.0,0.968,1.099
FX Factor,0.0009,0.005,0.171,0.865,-0.009,0.011
