,coef,std err,t,P>|t|,[0.025,0.975]
const,0.5298,0.395,1.34,0.182,-0.249,1.309
mkt-rf,1.0152,0.035,29.298,0.0,0.947,1.083
FX Factor,-0.0187,0.014,-1.339,0.182,-0.046,0.009
