,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0104,0.143,-0.072,0.942,-0.293,0.272
mkt-rf,1.0285,0.034,30.181,0.0,0.961,1.096
FX Factor,0.0008,0.005,0.147,0.883,-0.01,0.011
