,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1182,0.137,-0.863,0.389,-0.388,0.152
mkt-rf,1.017,0.022,45.434,0.0,0.973,1.061
FX Factor,0.0043,0.004,0.976,0.33,-0.004,0.013
