,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.073,0.063,-1.161,0.247,-0.197,0.051
mkt-rf,1.0051,0.01,97.736,0.0,0.985,1.025
FX Factor,0.0025,0.002,1.218,0.224,-0.002,0.006
