,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0712,0.061,1.169,0.243,-0.049,0.191
mkt-rf,0.9892,0.01,101.664,0.0,0.97,1.008
FX Factor,-0.0028,0.002,-1.159,0.247,-0.008,0.002
