,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.065,0.061,-1.069,0.286,-0.185,0.055
mkt-rf,1.0018,0.01,100.796,0.0,0.982,1.021
FX Factor,0.0021,0.002,1.075,0.284,-0.002,0.006
