,coef,std err,t,P>|t|,[0.025,0.975]
const,0.1312,0.297,0.441,0.66,-0.455,0.717
mkt-rf,0.9949,0.026,38.161,0.0,0.944,1.046
FX Factor,-0.0047,0.011,-0.448,0.655,-0.025,0.016
