,coef,std err,t,P>|t|,[0.025,0.975]
const,0.8119,0.47,1.729,0.089,-0.128,1.752
mkt-rf,0.906,0.046,19.602,0.0,0.814,0.998
FX Factor,-0.0306,0.017,-1.791,0.078,-0.065,0.004
