,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0171,0.069,-0.25,0.803,-0.152,0.118
mkt-rf,0.9888,0.011,88.153,0.0,0.967,1.011
FX Factor,0.0003,0.002,0.116,0.908,-0.004,0.005
