,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0467,0.119,0.391,0.696,-0.188,0.282
mkt-rf,0.986,0.02,50.543,0.0,0.948,1.024
FX Factor,-0.002,0.004,-0.511,0.61,-0.01,0.006
