,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0881,0.182,-0.485,0.628,-0.446,0.27
mkt-rf,0.9867,0.016,62.016,0.0,0.955,1.018
FX Factor,0.0029,0.006,0.45,0.653,-0.01,0.016
