,coef,std err,t,P>|t|,[0.025,0.975]
const,0.8839,0.467,1.891,0.066,-0.061,1.828
mkt-rf,0.8996,0.039,22.924,0.0,0.82,0.979
FX Factor,-0.033,0.017,-1.99,0.054,-0.067,0.001
