,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0112,0.161,-0.069,0.945,-0.329,0.307
mkt-rf,0.9782,0.014,69.148,0.0,0.95,1.006
FX Factor,-1.477e-05,0.006,-0.003,0.998,-0.011,0.011
