,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0879,0.114,0.769,0.442,-0.137,0.313
mkt-rf,1.0011,0.019,53.614,0.0,0.964,1.038
FX Factor,-0.0028,0.004,-0.765,0.445,-0.01,0.004
