,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0382,0.147,0.259,0.796,-0.252,0.329
mkt-rf,0.9961,0.013,77.132,0.0,0.971,1.022
FX Factor,-0.0015,0.005,-0.279,0.78,-0.012,0.009
