,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0847,0.116,-0.73,0.466,-0.313,0.144
mkt-rf,1.0134,0.028,36.756,0.0,0.959,1.068
FX Factor,0.003,0.004,0.712,0.477,-0.005,0.011
