,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0481,0.046,-1.045,0.297,-0.139,0.043
mkt-rf,1.0075,0.007,137.089,0.0,0.993,1.022
FX Factor,0.0019,0.002,1.051,0.294,-0.002,0.005
