,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.018,0.073,-0.246,0.806,-0.163,0.127
mkt-rf,1.0059,0.012,85.759,0.0,0.983,1.029
FX Factor,0.0009,0.003,0.301,0.764,-0.005,0.007
