,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0026,0.152,0.017,0.986,-0.296,0.301
mkt-rf,0.9799,0.013,73.692,0.0,0.954,1.006
FX Factor,-0.0004,0.005,-0.071,0.944,-0.011,0.01
