,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.0646,0.055,-1.173,0.242,-0.173,0.044
mkt-rf,0.9986,0.009,110.973,0.0,0.981,1.016
FX Factor,0.0021,0.002,1.155,0.249,-0.001,0.006
