,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.4173,0.215,-1.937,0.054,-0.842,0.007
mkt-rf,0.9845,0.019,52.145,0.0,0.947,1.022
FX Factor,0.0147,0.008,1.929,0.055,-0.0,0.03
