,Date,Individual Return,Weighted Return,FX Factor,risk-free,mkt-rf,risk premium,const,[mkt-rf],FX factor
1,2019-01-03,0.0,-0.006459998370716091,30.905,0.842,-0.8484599983707161,-0.842,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
2,2019-01-04,-0.028469751112877265,-0.011578728833594454,30.787,0.85,-0.8615787288335944,-0.8784697511128773,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
3,2019-01-07,-0.018315042671468457,0.02214653053959892,30.805,0.87,-0.8478534694604011,-0.8883150426714684,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
4,2019-01-08,-0.009328305085002118,-0.002784083486050082,30.838,0.88,-0.8827840834860501,-0.8893283050850022,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
5,2019-01-09,0.01318267807491771,0.018268222016136537,30.783,0.88,-0.8617317779838635,-0.8668173219250823,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
6,2019-01-10,-0.027881142576508203,-0.001809260683056535,30.787,0.88,-0.8818092606830565,-0.9078811425765082,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
7,2019-01-11,-0.015296334639299363,0.003982223404551455,30.796,0.88,-0.8760177765954485,-0.8952963346392994,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
8,2019-01-14,-0.025242698246144522,-0.00524424268028445,30.835,0.86,-0.8652442426802844,-0.8852426982461445,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
9,2019-01-15,-0.015936290507064237,0.010076029926718189,30.826,0.875,-0.8649239700732818,-0.8909362905070642,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
10,2019-01-16,0.004048645681569472,-0.004306577230133057,30.797,0.875,-0.8793065772301331,-0.8709513543184305,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
11,2019-01-17,-0.03225813558024813,0.0025953824816034032,30.824,0.875,-0.8724046175183966,-0.9072581355802481,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
12,2019-01-18,0.0,0.004791956177568224,30.864,0.875,-0.8702080438224318,-0.875,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
13,2019-01-21,0.0062500234067459455,0.00542298670836594,30.885,0.875,-0.8695770132916341,-0.868749976593254,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
14,2019-01-22,0.0062112032411049825,0.0005318589011711339,30.889,0.875,-0.8744681410988289,-0.868788796758895,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
15,2019-01-23,0.0,-0.004877354539005174,30.841,0.85,-0.8548773545390052,-0.85,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
16,2019-01-24,0.0,0.0031198941078760534,30.862,0.86,-0.8568801058921239,-0.86,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
17,2019-01-25,0.0,0.009364089256548969,30.708,0.87,-0.860635910743451,-0.87,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
18,2019-01-28,0.06172833328002647,0.004385299427038136,30.779,0.87,-0.8656147005729619,-0.8082716667199735,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
19,2019-01-29,0.0,-0.00816314190556533,30.787,0.89,-0.8981631419055653,-0.89,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
20,2019-01-30,-0.04651152941391847,6.745363889759659e-05,30.712,0.87,-0.8699325463611024,-0.9165115294139184,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
21,2019-02-11,0.016260126489461443,0.007248122388437084,30.862,0.825,-0.8177518776115629,-0.8087398735105386,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
22,2019-02-12,0.0,0.009345051790488945,30.79,0.838,-0.828654948209511,-0.838,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
23,2019-02-13,0.007999982517089369,-0.000709085011478594,30.825,0.838,-0.8387090850114786,-0.8300000174829106,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
24,2019-02-14,-0.009920578444443062,-0.0001556216280770295,30.82,0.84,-0.840155621628077,-0.849920578444443,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
25,2019-02-15,0.0,-0.0024015728748776333,30.812,0.82,-0.8224015728748776,-0.82,0.09246372260760671,1.0247379679586035,-0.0024398332984868973
