,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1192,0.081,-1.466,0.144,-0.279,0.041
mkt-rf,1.0136,0.013,77.975,0.0,0.988,1.039
FX Factor,0.0045,0.003,1.401,0.163,-0.002,0.011
