,coef,std err,t,P>|t|,[0.025,0.975]
const,0.0963,0.1,0.96,0.338,-0.101,0.294
mkt-rf,0.9538,0.024,39.977,0.0,0.907,1.001
FX Factor,-0.004,0.004,-1.069,0.286,-0.011,0.003
