,coef,std err,t,P>|t|,[0.025,0.975]
const,-0.1367,0.104,-1.308,0.192,-0.342,0.069
mkt-rf,1.0236,0.017,61.323,0.0,0.991,1.056
FX Factor,0.0056,0.004,1.349,0.179,-0.003,0.014
